Timestamp,Level,Restart_Quit
10/26/2022 18:19:28,level_one,Restart
10/26/2022 18:19:28,level_one,Restart
10/26/2022 18:19:29,level_one,Restart
10/26/2022 18:19:29,level_one,Quit
10/26/2022 18:19:29,level_one,Restart
10/26/2022 18:19:29,level_one,Restart
10/26/2022 18:19:31,level_two,Restart
10/26/2022 18:19:32,level_two,Quit
10/26/2022 18:19:33,level_one,Restart
10/26/2022 18:19:34,level_one,Quit
10/26/2022 18:19:35,level_two,Restart
10/26/2022 18:19:35,level_two,Restart
10/26/2022 18:19:35,level_two,Restart
10/26/2022 18:19:35,level_two,Restart
10/26/2022 18:19:36,level_two,Quit
10/26/2022 18:19:44,level_two,Restart
10/26/2022 18:19:45,level_two,Restart
10/26/2022 18:54:06,level_one,Restart
10/26/2022 19:17:10,level_one,Quit
10/26/2022 19:19:45,level_two,Quit
10/26/2022 20:30:11,level_one,Restart
10/26/2022 20:31:53,level_one,Quit
10/26/2022 20:54:18,level_one,Restart
10/26/2022 20:54:19,level_one,Restart
10/26/2022 20:54:19,level_one,Restart
10/26/2022 20:54:48,level_one,Quit
10/26/2022 20:54:50,level_two,Restart
10/26/2022 20:54:51,level_two,Quit
10/26/2022 20:54:56,level_one,Restart
10/26/2022 20:54:57,level_one,Restart
10/26/2022 20:54:57,level_one,Restart
10/26/2022 20:55:00,level_one,Restart
10/26/2022 20:55:01,level_one,Quit
10/26/2022 20:56:22,level_one,Quit
10/26/2022 20:56:24,level_seven,Quit
10/26/2022 20:56:28,level_four,Restart
10/26/2022 20:56:30,level_four,Restart
10/26/2022 20:56:30,level_four,Restart
10/26/2022 20:56:32,level_four,Restart
10/26/2022 20:56:59,level_four,Quit
10/26/2022 20:58:57,level_one,Restart
10/26/2022 20:58:58,level_one,Quit
10/26/2022 20:59:19,level_one,Restart
10/26/2022 20:59:20,level_one,Quit
10/26/2022 21:00:06,level_one,Quit
10/26/2022 21:02:29,level_one,Quit
10/26/2022 21:11:57,level_one,Restart
10/26/2022 21:11:57,level_one,Restart
10/26/2022 21:11:58,level_one,Restart
10/26/2022 21:29:59,level_one,Restart
10/26/2022 21:30:00,level_one,Quit
10/26/2022 21:30:02,level_one,Restart
10/26/2022 21:30:05,level_one,Quit
10/26/2022 21:37:36,level_one,Restart
10/26/2022 21:37:41,level_one,Restart
10/26/2022 21:37:42,level_one,Restart
10/26/2022 21:37:43,level_one,Quit
10/26/2022 21:37:44,level_one,Restart
10/26/2022 21:37:45,level_one,Quit
10/26/2022 21:37:46,level_two,Restart
10/26/2022 21:37:49,level_two,Quit
10/26/2022 21:37:51,level_three,Restart
10/26/2022 21:37:52,level_three,Restart
10/26/2022 21:37:52,level_three,Restart
10/26/2022 21:37:52,level_three,Restart
10/26/2022 21:37:52,level_three,Restart
10/26/2022 21:37:52,level_three,Restart
10/26/2022 21:37:55,level_three,Quit
10/26/2022 21:37:57,level_seven,Restart
10/26/2022 21:37:58,level_seven,Quit
